"Table 1.1  Selected Income and Tax Items, by Size and Accumulated Size of 
Adjusted Gross Income, Tax Year 2008",,,,,,,,,,,,,,,,,,,,
"(All figures are estimates based on samples—money amounts are in thousands of dollars except as indicated)",,,,,,,,,,,,,,,,,,,,
"Size and accumulated size
of adjusted gross income","All returns",,,,,"Taxable returns",,,,,,,,,,,,,,
,"Number
of
returns","Percent
of total","Adjusted gross
income less deficit",,,"Number
of
returns","Percent
of total","Adjusted gross
income less deficit",,"Taxable income",,,"Income tax after credits",,,"Total income tax",,,,
,,,,,,,,,,"Number of
returns","Amount","Percent of
total","Number of
returns","Amount","Percent of
total","Amount","Percent of",,,"Average
total income 
tax (dollars)"
,,,"Amount","Percent
of total","Average
(dollars)",,,"Amount","Percent
of total",,,,,,,,"Total","Taxable
income","Adjusted gross
income less deficit",
,,,,,,,,,,,,,,,,,,,,
,(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14),(15),(16),(17),(18),(19),(20)
"Size of Adjusted Gross Income",,,,,,,,,,,,,,,,,,,,
"All returns","142,450,569",100.0,"8,262,860,170",100.0,"58,005","90,660,104",100.0,"7,583,461,595",100.0,"90,625,862","5,487,574,374",100.0,"90,659,909","1,031,580,708",100.0,"1,031,580,923",100.0,18.8,13.6,"11,379"
"No adjusted gross income","2,489,989",1.7,"-163,765,199","[1]","-65,769","3,495","[2]","-3,102,299","[1]",0,0,"[1]","3,495","69,278","[2]","69,278","[2]","[1]","[1]","19,822"
"$1 under $5,000","11,638,707",8.2,"30,564,125",0.4,"2,626","502,422",0.6,"1,519,825","[2]","501,405","686,306","[2]","502,422","76,716","[2]","76,716","[2]",11.2,5.0,153
"$5,000 under $10,000","12,139,638",8.5,"90,849,360",1.1,"7,484","2,611,769",2.9,"19,825,286",0.3,"2,609,008","5,092,789",0.1,"2,611,769","521,105",0.1,"521,105",0.1,10.2,2.6,200
"$10,000 under $15,000","11,702,056",8.2,"146,376,637",1.8,"12,509","4,235,223",4.7,"53,352,646",0.7,"4,233,231","17,264,231",0.3,"4,235,223","1,559,617",0.2,"1,559,617",0.2,9.0,2.9,368
"$15,000 under $20,000","11,076,002",7.8,"193,479,026",2.3,"17,468","5,294,453",5.8,"92,896,530",1.2,"5,293,742","41,733,014",0.8,"5,294,453","3,518,545",0.3,"3,518,545",0.3,8.4,3.8,665
"$20,000 under $25,000","9,866,247",6.9,"221,639,954",2.7,"22,464","5,430,781",6.0,"122,212,038",1.6,"5,430,153","60,870,152",1.1,"5,430,781","6,331,242",0.6,"6,331,242",0.6,10.4,5.2,"1,166"
"$25,000 under $30,000","8,743,581",6.1,"239,916,395",2.9,"27,439","5,326,630",5.9,"146,414,437",1.9,"5,326,579","82,204,091",1.5,"5,326,630","9,108,355",0.9,"9,108,355",0.9,11.1,6.2,"1,710"
"$30,000 under $40,000","14,554,280",10.2,"506,106,712",6.1,"34,774","10,755,171",11.9,"375,834,514",5.0,"10,754,964","227,787,612",4.2,"10,754,976","25,551,828",2.5,"25,551,837",2.5,11.2,6.8,"2,376"
